Columna,Longitud MÃ¡xima,Tipo de Dato Sugerido
clave_estado_predio_capturada,2,INTEGER
estado_predio_capturada,9,TEXT
clave_municipio_predio_capturada,3,INTEGER
municipio_predio_capturada,34,TEXT
clave_localidad_predio_capturada,4,INTEGER
localidad_predio_capturada,60,TEXT
id_nu_solicitud,8,INTEGER
CDF_Entrega,42,TEXT
id_cdf_entrega,4,INTEGER
Acuse_estatal,30,TEXT
curp_solicitud,18,TEXT
CURP_Renapo,18,TEXT
curp_historica,18,TEXT
sn_primer_apellido,19,TEXT
sn_segundo_apellido,20,TEXT
ln_nombre,37,TEXT
es_pob_indigena,2,TEXT
cultivo,27,TEXT
ton_dap_entregada,10,"NUMERIC(10,2)"
ton_urea_entregada,10,"NUMERIC(10,2)"
Fecha_Entrega,10,DATE
Folio_persona,10,INTEGER
cuadernillo,20,TEXT
nombre_DDR,17,TEXT
clave_DDR,3,INTEGER
nombre_cader_ventanilla,29,TEXT
clave_cader_ventanilla,2,INTEGER
dap_anio_actual,7,"NUMERIC(10,2)"
urea_anio_actual,7,"NUMERIC(10,2)"
dap_remanente,7,"NUMERIC(10,2)"
urea_remanente,7,"NUMERIC(10,2)"
superficie_apoyada,1,INTEGER
id_beneficiarios_fertilizantes,6,INTEGER
fecha_creacion,19,DATE
id_nu_taxonomia,4,INTEGER
